"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"John Franklinbuurt",10.3,10.5,8.4
"Julianapark",7.7,8.4,3.9
"K-buurt Midden",15.6,16.3,10.1
"K-buurt Zuidoost",11.6,11.9,7.8
"K-buurt Zuidwest",11.6,11.8,10.3
"KNSM-eiland",6.4,7.3,3.6
"Kadijken",7.5,8.7,4.4
"Kadoelen",5.3,5.8,3.3
"Kalverdriehoek",9.8,10.1,5
"Kantershof",10.1,11.4,7
"Kattenburg",8.2,9.3,5.4
"Kazernebuurt",8.5,9.8,5.3
"Kelbergen",11.8,13.3,6.1
"Kolenkitbuurt Noord",13.6,13.7,12.4
"Kolenkitbuurt Zuid",11.5,11.6,11.2
"Koningin Wilhelminaplein",11.1,11.7,3.3
"Kop Zeedijk",10,10.6,4.7
"Kop Zuidas",7.7,8.1,2.3
"Kortenaerkwartier",8.7,9.1,6
"Kortvoort",12.7,13.9,8.7
"Kromme Mijdrechtbuurt",9.1,9.8,5.8
"L-buurt",9.3,10.8,4.7
"Laan van Spartaan",12.2,12.4,9.4
"Landelijk gebied Driemond",3,3.1,2
"Landlust Noord",11.3,11.5,9.8
"Landlust Zuid",9.9,10.1,8.4
"Langestraat e.o.",6.7,8,2.4
"Lastage",7.4,8.2,3.8
"Legmeerpleinbuurt",7.7,8.3,4.7
"Leidsebuurt Noordoost",10.1,10.5,4.2
"Leidsebuurt Noordwest",10.7,11.1,3.9
"Leidsebuurt Zuidoost",8.2,9.3,3.4
"Leidsebuurt Zuidwest",10.3,11.1,4.1
"Leidsegracht Noord",7.8,8.8,3.1
"Leidsegracht Zuid",7.1,8,2.5
"Leliegracht e.o.",8.4,9.6,2.3
"Linnaeusparkbuurt",6,6.6,3.4
"Lizzy Ansinghbuurt",9.4,9.9,6.6
"Loenermark",10.4,11.7,5.6
"Lootsbuurt",10.3,10.7,7.8
"Louis Chrispijnbuurt",10.9,12.5,5.9
"Lucas/Andreasziekenhuis e.o.",16.8,16.9,NA
"Marathonbuurt Oost",9.5,10.7,5.7
"Marathonbuurt West",10.9,11.9,7.3
"Marcanti",8.9,9.3,7.3
"Marine-Etablissement",4.8,5.5,2.8
"Marjoleinterrein",9.5,9.9,4.6
"Markengouw Midden",11.8,12.3,7
"Markengouw Zuid",12.6,13.3,7.4
"Markthallen",7.9,10.3,NA
"Marnixbuurt Midden",8.2,8.6,4.7
"Marnixbuurt Noord",9.2,10.1,5.6
"Marnixbuurt Zuid",8.7,10.7,3.5
"Medisch Centrum Slotervaart",14.1,14.1,NA
"Meer en Oever",9.7,11,5.2
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",9.2,10.6,4.8
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",5.5,5.8,4.1
"Middenmeer Zuid",5.9,6.3,3.7
"Minervabuurt Midden",5.8,6.9,2.4
"Minervabuurt Noord",5.4,6.4,2.3
"Minervabuurt Zuid",5.8,6.8,2.7
"Molenwijk",12.6,14.6,6.1
"Museumplein",NA,NA,NA
"NDSM terrein",10.5,10.6,3.1
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",9.6,10.3,2.7
"Nieuw Sloten Noordoost",7.2,8.5,3.8
"Nieuw Sloten Noordwest",7.5,8.2,5
"Nieuw Sloten Zuidoost",7.8,8.6,3.5
"Nieuw Sloten Zuidwest",5.1,5.6,2.6
"Nieuwe Diep/Diemerpark",4.7,5.3,2.7
"Nieuwe Kerk e.o.",9.7,10.1,3.9
"Nieuwe Meer",8.1,8.4,6.3
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",3.2,3.5,1.8
"Nieuwendammerdijk West",3.7,4,2.5
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",11.2,11.6,4.7
"Nieuwmarkt",8.1,9.4,5.2
"Nintemanterrein",2.7,3.4,1.3
"Noorder IJplas",4,5.1,2.3
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",11.3,12.3,NA
"Noordoever Sloterplas",10.2,10.9,6
"Noordoostkwadrant Indische buurt",11.4,12,9.2
"Noordwestkwadrant Indische buurt Noord",9.9,10.1,8.2
"Noordwestkwadrant Indische buurt Zuid",9.9,10,9.9
"Olympisch Stadion e.o.",8.4,9.3,4.8
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",8.4,8.9,4
"Oostenburg",9.8,10.3,6.1
"Oosterdokseiland",9.6,10.6,3
"Oosterpark",12.3,12.9,6.8
"Oosterparkbuurt Noordwest",9.9,10.3,7.4
"Oosterparkbuurt Zuidoost",8.7,9,6.6
"Oosterparkbuurt Zuidwest",11.5,12,8.7
"Oostoever Sloterplas",6.3,7,4.7
"Oostpoort",8.2,9,5.4
"Oostzanerdijk",5,5.4,3.2
"Orteliusbuurt Midden",9.6,9.9,7.1
"Orteliusbuurt Noord",10.3,10.8,7.2
"Orteliusbuurt Zuid",9.5,9.8,6.9
"Osdorp Midden Noord",13.8,15.1,8.8
"Osdorp Midden Zuid",13.8,14.7,8.7
"Osdorp Zuidoost",9.4,10.9,5.4
"Osdorper Binnenpolder",5.5,6.8,NA
"Osdorper Bovenpolder",5.9,7.2,2.6
"Osdorpplein e.o.",11.6,12.4,6.7
"Oude Kerk e.o.",9.7,10.2,5.7
"Overamstel",3.4,3.5,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",8.7,9.5,2.3
"Overtoomse Veld Noord",12.1,12.2,11.6
"Overtoomse Veld Zuid",11.1,11.4,8.5
"P.C. Hooftbuurt",7.5,8.6,2.8
"Papaverweg e.o.",6.4,6.7,2.4
"Paramariboplein e.o.",8.4,8.6,6.5
"Park Haagseweg",4.7,5.7,1.9
"Park de Meer",6.1,6.9,3.8
"Parooldriehoek",16.4,16.5,NA
"Passeerdersgrachtbuurt",8.3,9.5,4.1
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",10.1,10.6,6.7
"Plan van Gool",12,13.3,5.8
"Planciusbuurt Noord",10.1,10.8,4.9
"Planciusbuurt Zuid",10.7,11.7,6.3
"Postjeskade e.o.",8.2,8.6,5.5
"Prinses Irenebuurt",5.6,7,2.1
"RAI",NA,NA,NA
"RI Oost terrein",10.2,10.6,4.2
"Ransdorp",2.9,3.4,1.9
"Rapenburg",9.5,10.3,4.5
"Rechte H-buurt",15.6,16.5,9.9
"Reguliersbuurt",11.3,11.4,NA
"Reigersbos Midden",11,12.5,6.3
"Reigersbos Noord",13.5,14.6,8.5
"Reigersbos Zuid",8.9,10.5,4.6
"Rembrandtpark Noord",9,9.4,4.1
"Rembrandtpark Zuid",8.7,9.3,3.9
"Rembrandtpleinbuurt",13.4,14.1,3.5
"Riekerhaven",17.1,17.1,NA
"Riekerpolder",10,10.1,NA
"Rieteiland Oost",3.4,3.5,NA
"Rietlanden",7.4,7.9,4.4
"Rijnbuurt Midden",7.2,7.6,5.1
"Rijnbuurt Oost",7.3,7.6,5.3
"Rijnbuurt West",11.4,13,6.8
"Robert Scottbuurt Oost",9.8,10,8.3
"Robert Scottbuurt West",12.3,12.7,9.6
"Rode Kruisbuurt",4.2,5.6,2.1
"Sarphatiparkbuurt",9.2,9.6,6
"Sarphatistrook",8.7,9.3,4.4
"Scheepvaarthuisbuurt",6.2,6.8,3
"Scheldebuurt Midden",6.2,6.7,4.1
"Scheldebuurt Oost",6.8,7.3,3.7
"Scheldebuurt West",6.8,7.4,4.4
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",3.6,4.1,2.3
"Schellingwoude West",3.3,3.9,1.7
"Schinkelbuurt Noord",8.5,8.9,5
"Schinkelbuurt Zuid",9.5,10.4,5.7
"Schipluidenbuurt",13.8,14,4.9
"Science Park Noord",11.3,11.6,2.1
"Science Park Zuid",18,18.3,NA
"Sloterdijk II",21.3,21.3,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",14.7,15.1,NA
"Slotermeer Zuid",13.9,15.1,8.2
"Sloterpark",12.4,12.4,NA
"Sloterweg e.o.",5.6,6.8,2.1
"Spaarndammerbuurt Midden",9.9,10.2,7
"Spaarndammerbuurt Noordoost",10.3,11.1,6.7
"Spaarndammerbuurt Noordwest",10.2,10.6,7.5
"Spaarndammerbuurt Zuidoost",9.1,9.8,5.9
"Spaarndammerbuurt Zuidwest",9.4,9.9,7.3
"Spiegelbuurt",7.8,8.7,2.7
"Sporenburg",5.5,5.8,3
"Sportpark Middenmeer Noord",19.2,19.2,NA
"Sportpark Middenmeer Zuid",4.1,5,3.4
"Sportpark Voorland",NA,NA,NA
"Spuistraat Noord",9.8,10.4,2.9
"Spuistraat Zuid",9.6,10.2,4.6
"Staalmanbuurt",11.5,12.1,8.1
"Staatsliedenbuurt Noordoost",9.8,11,7
"Stationsplein e.o.",NA,NA,NA
"Steigereiland Noord",9,9.2,4
"Steigereiland Zuid",7.6,7.8,5.6
"Strandeiland",NA,NA,NA
"Surinamepleinbuurt",7.1,7.7,3.8
"Swammerdambuurt",7.4,7.8,4
"Teleport",16.3,16.4,NA
"Terrasdorp",9.9,11.2,6
"Transvaalbuurt Oost",10,10.2,8.4
"Transvaalbuurt West",10.4,10.7,9.3
"Trompbuurt",8,8.3,6.5
"Tuindorp Amstelstation",12,14.3,6.9
"Tuindorp Frankendael",9.4,10.5,5.4
"Tuindorp Nieuwendam Oost",7.8,8.9,5
"Tuindorp Nieuwendam West",7.5,9,4.6
"Tuindorp Oostzaan Oost",8.1,9.2,5.1
"Tuindorp Oostzaan West",7.8,9.2,5.3
"Twiske Oost",6.3,7.2,4.1
"Twiske West",5.8,6.5,3.2
"Uilenburg",8.6,9.6,4.6
"Utrechtsebuurt Zuid",7.1,8,3.5
"VU-kwartier",15.6,16.4,NA
"Valeriusbuurt Oost",6,6.9,2.4
"Valeriusbuurt West",6.9,7.7,3.4
"Valkenburg",7.6,8.8,4.5
"Van Brakelkwartier",11.3,11.7,8.9
"Van Loonbuurt",6.4,7.4,2.7
"Van Tuyllbuurt",7.6,8.1,4.9
"Van der Helstpleinbuurt",9.2,9.6,6.1
"Van der Kunbuurt",13.6,14.4,9.1
"Van der Pekbuurt",12.2,12.9,8.2
"Veluwebuurt",8,8.9,5
"Venserpolder Oost",12.8,13.5,8.5
"Venserpolder West",13.6,14.4,9.4
"Vervoerscentrum",NA,NA,NA
"Vivaldi",12.9,13.1,4.1
"Vliegenbos",4.4,4.7,2.4
"Vogelbuurt Noord",10.1,10.1,9.8
"Vogelbuurt Zuid",11.3,12,7.7
"Vogeltjeswei",9.9,10.3,8.8
"Vondelpark Oost",NA,NA,NA
"Vondelpark West",NA,NA,NA
"Vondelparkbuurt Midden",7.9,8.8,4.3
"Vondelparkbuurt Oost",8.7,10,2.3
"Vondelparkbuurt West",7.2,7.8,4.2
"WG-terrein",8,8.9,4.7
"Walvisbuurt",6.9,7.5,4
"Waterloopleinbuurt",8.1,9.2,4.4
"Weesperbuurt",8.1,9,4.5
"Weespertrekvaart",8,8.2,1.9
"Weesperzijde Midden/Zuid",7.8,8.2,5
"Werengouw Midden",11.5,12.5,6.4
"Werengouw Zuid",11.1,12.6,4.9
"Westelijke eilanden",7.7,8.9,4
"Westerdokseiland",7.2,8.3,3.9
"Westergasfabriek",NA,NA,NA
"Westerstaatsman",10,10.2,7.7
"Westhaven Noord",7.5,8.5,NA
"Westhaven Zuid",NA,NA,NA
"Westlandgrachtbuurt",8,8.3,5.5
"Weteringbuurt",7.8,8.5,3.6
"Wielingenbuurt",6.2,6.7,3.6
"Wildeman",13.6,15.5,7.7
"Willemsparkbuurt Noord",6.6,7.3,3.2
"Willibrordusbuurt",9.5,10.3,6.5
"Wittenburg",9.1,9.9,6
"Woon- en Groengebied Sloterdijk",7.3,7.6,3
"Zaagpoortbuurt",11.6,12.2,5.8
"Zamenhofstraat e.o.",NA,NA,NA
"Zeeburgerdijk Oost",6.6,7.2,4.1
"Zeeburgereiland Noordoost",5.8,6.1,NA
"Zeeburgereiland Noordwest",3.8,4.7,NA
"Zeeburgereiland Zuidoost",12.5,12.5,NA
"Zeeburgereiland Zuidwest",8.7,8.8,NA
"Zeeheldenbuurt",9.2,9.8,6
"Zorgvlied",4.2,4.8,NA
"Zuidas Noord",11.1,11.5,3.7
"Zuidas Zuid",10.5,11,2.6
"Zuiderhof",16.2,16.2,NA
"Zuiderkerkbuurt",7.8,8.8,4.5
"Zuidoostkwadrant Indische buurt",11.1,11.4,9.1
"Zuidwestkwadrant Indische buurt",11.8,12.2,10.1
"Zuidwestkwadrant Osdorp Noord",13,13.8,9.7
"Zuidwestkwadrant Osdorp Zuid",11.7,12.3,6.9
"Zunderdorp",3.7,4.2,2.6
"Zwarte Gouw",NA,NA,NA
"de Plantage",6.6,7.7,2.7
