"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"De Wittenbuurt Noord",20.7,20.9,19.4
"De Wittenbuurt Zuid",22.6,24,19
"Delflandpleinbuurt Oost",25.9,25.9,24.9
"Delflandpleinbuurt West",24.5,24.3,26.2
"Den Texbuurt",15.8,16.5,13
"Diamantbuurt",25.5,25.5,25.5
"Diepenbrockbuurt",10.5,11,9.1
"Don Bosco",17.4,17.1,18.8
"Dorp Driemond",16.1,16.5,15.1
"Dorp Sloten",14.1,14.6,12.5
"Drieburg",NA,NA,NA
"Driehoekbuurt",19.5,20.1,16.9
"Duivelseiland",17.5,17.6,16.7
"Durgerdam",11,11.1,10.7
"E-buurt",21.1,21,22.1
"Ecowijk",18.4,18.7,17.1
"Eendrachtspark",23.3,24.3,14
"Elandsgrachtbuurt",19.2,19.7,17.3
"Elzenhagen Noord",18,18.1,17.9
"Elzenhagen Zuid",29.5,29.8,24.9
"Emanuel van Meterenbuurt",22.6,23.5,19.2
"Entrepot-Noordwest",23.4,24.2,19.6
"Erasmusparkbuurt Oost",21,20.7,23.1
"Erasmusparkbuurt West",20.1,19.4,27.1
"F-buurt",23.9,24.1,21
"Fannius Scholtenbuurt",21.8,21.7,22.9
"Felix Meritisbuurt",16,17,11.1
"Filips van Almondekwartier",21.1,20.8,24.7
"Flevopark",19.6,20.8,NA
"Frankendael",11.3,10.7,NA
"Frans Halsbuurt",19.2,19.4,17.1
"Frederik Hendrikbuurt Noord",19.9,20,19.9
"Frederik Hendrikbuurt Zuidoost",22.3,22.5,21.4
"Frederik Hendrikbuurt Zuidwest",19.6,19.9,18.4
"Frederikspleinbuurt",15.6,16.8,10.5
"G-buurt Noord",33.1,33.5,29.9
"G-buurt Oost",18.2,19.4,16.1
"G-buurt West",22.9,23,22.2
"Gaasperdam Noord",24.9,25.7,20.7
"Gaasperdam Zuid",24.5,24.7,24
"Gaasperpark",17.7,16.9,NA
"Gaasperplas",13.9,13.4,NA
"Gein Noordoost",14.6,15.8,11.6
"Gein Noordwest",26.7,26.8,26.2
"Gein Zuidoost",22,22.8,19.8
"Gein Zuidwest",27.3,27.5,25.7
"Gelderlandpleinbuurt",19.3,20.1,17.1
"Gerard Doubuurt",21.5,21.6,21
"Geuzenhofbuurt",18,18,17.2
"Gibraltarbuurt",25,24.8,26.8
"Gooise Kant",18.6,18.6,NA
"Gouden Bocht",15.9,17.5,9.2
"Groenmarktkadebuurt",18.7,18.9,16.9
"Grunder/Koningshoef",22.9,22.9,23.1
"Haarlemmerbuurt Oost",18,18.6,15.4
"Haarlemmerbuurt West",19.7,20.3,17.2
"Hakfort/Huigenbos",31.4,31.4,31.3
"Harmoniehofbuurt",15.2,17.2,13.6
"Haveneiland Noord",25,25.2,23.5
"Haveneiland Noordoost",20.5,20.4,20.8
"Haveneiland Noordwest",20.8,21.1,18.2
"Haveneiland Oost",18.7,18.5,21.4
"Haveneiland Zuidwest/Rieteiland West",13.4,13.6,12
"Helmersbuurt Oost",16.8,17.1,14.8
"Hemelrijk",19.4,19.9,13.2
"Hemonybuurt",17.6,17.8,15.5
"Hercules Seghersbuurt",21.8,21.8,22.3
"Het Funen",16.9,17.2,15.1
"Hiltonbuurt",9.4,9.7,7.8
"Hoge Dijk",19.7,20.6,NA
"Holendrecht Oost",18.8,20.9,15.1
"Holendrecht West",31.7,32.2,30.5
"Holysloot",11.5,11.5,11.6
"Hondecoeterbuurt",14.6,15.2,12.6
"Hoofdcentrum Zuidoost",18.9,18.9,NA
"Hoptille",28.1,28,29
"Houthavens Oost",15.1,16.5,10.6
"Houthavens West",12.9,13.1,11.4
"Huntum",13.2,14.9,10.2
"IJplein e.o.",26.8,27.5,24.1
"IJsbaanpad e.o.",11.9,12,11.2
"IJselbuurt Oost",20,19.9,20.5
"IJselbuurt West",21,21,20.8
"Jacob Geelbuurt",31.1,31.3,29.4
"Jacques Veltmanbuurt",24.5,24.5,24
"Jan Maijenbuurt",26.4,25.9,30.2
"Java-eiland",15.2,15.9,12.4
"Johan Jongkindbuurt",34.9,34.8,36.1
"Johannnes Vermeerbuurt",14,15,10.3
"John Franklinbuurt",23.8,23.3,26.9
"Julianapark",16.9,17.2,15
"K-buurt Midden",29.5,29.6,28.2
"K-buurt Zuidoost",21.5,21.4,23.4
"K-buurt Zuidwest",23.5,22.6,29.4
"KNSM-eiland",16.5,17.7,12.8
"Kadijken",18.3,19.4,15.5
"Kadoelen",14.7,14.7,14.4
"Kalverdriehoek",18.4,18.7,13.1
"Kantershof",22.3,21.6,24.1
"Kattenburg",21.2,21.5,20.2
"Kazernebuurt",20.6,21.8,17.8
"Kelbergen",25.3,26.3,21.2
"Kolenkitbuurt Noord",29.2,28.4,36.8
"Kolenkitbuurt Zuid",26.4,25.3,33.7
"Koningin Wilhelminaplein",18.7,19.1,13.2
"Kop Zeedijk",19.8,20.4,14.6
"Kop Zuidas",15.2,15.6,10.3
"Kortenaerkwartier",21.2,21,22.2
"Kortvoort",28.4,28.3,28.9
"Kromme Mijdrechtbuurt",21.4,21.5,20.6
"L-buurt",19.8,20.4,17.9
"Laan van Spartaan",23.2,22.7,31
"Landelijk gebied Driemond",10.1,10.2,9.2
"Landlust Noord",25.6,25.1,30.1
"Landlust Zuid",22.2,21.8,26.5
"Langestraat e.o.",14.7,16.2,10
"Lastage",17.5,18.1,14.3
"Legmeerpleinbuurt",17.4,17.5,16.8
"Leidsebuurt Noordoost",19.2,19.6,13.8
"Leidsebuurt Noordwest",19.1,19.3,15.8
"Leidsebuurt Zuidoost",18.2,19.5,12.1
"Leidsebuurt Zuidwest",19.8,20.5,14.7
"Leidsegracht Noord",15.8,17.3,8.8
"Leidsegracht Zuid",15.5,16.5,10.2
"Leliegracht e.o.",16.2,17.5,9.3
"Linnaeusparkbuurt",14.7,14.9,13.6
"Lizzy Ansinghbuurt",21.4,21.3,22.3
"Loenermark",21.9,22.3,20.6
"Lootsbuurt",24.2,24.1,24.8
"Louis Chrispijnbuurt",26,27.2,22
"Lucas/Andreasziekenhuis e.o.",20.1,20.1,NA
"Marathonbuurt Oost",22.5,23.1,20.3
"Marathonbuurt West",25.6,26.1,23.9
"Marcanti",21.7,20.9,25.1
"Marine-Etablissement",12.5,13.3,10.2
"Marjoleinterrein",21.6,22.1,16.1
"Markengouw Midden",26.9,27.3,23.3
"Markengouw Zuid",26.8,27.4,22.2
"Markthallen",20.4,15.4,NA
"Marnixbuurt Midden",17.1,17.2,16.3
"Marnixbuurt Noord",21.2,21.5,20.3
"Marnixbuurt Zuid",20.2,21.9,15.8
"Medisch Centrum Slotervaart",27.2,27.2,NA
"Meer en Oever",21.6,22.3,19.1
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",22.9,24.1,19.1
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",15.2,15,16.2
"Middenmeer Zuid",15.4,15.3,15.5
"Minervabuurt Midden",12.5,13.2,10.2
"Minervabuurt Noord",12.1,12.6,10.3
"Minervabuurt Zuid",13.3,14,11
"Molenwijk",27,28.2,23.1
"Museumplein",NA,NA,NA
"NDSM terrein",19.2,19.3,9.5
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",18.3,19.1,10.4
"Nieuw Sloten Noordoost",18.8,19.7,16.8
"Nieuw Sloten Noordwest",19.6,19.8,19
"Nieuw Sloten Zuidoost",19.3,20,15.9
"Nieuw Sloten Zuidwest",13.8,14.3,11.1
"Nieuwe Diep/Diemerpark",13.9,14,13.7
"Nieuwe Kerk e.o.",19.8,20.2,13.4
"Nieuwe Meer",19.9,20.4,16.4
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",10.3,10.2,10.7
"Nieuwendammerdijk West",10.3,10.4,10.1
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",21.2,21.5,14.6
"Nieuwmarkt",20.2,21.5,17.4
"Nintemanterrein",8.8,9.6,7.4
"Noorder IJplas",13.1,14.2,11.2
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",23.3,24.8,NA
"Noordoever Sloterplas",21.3,21.4,20.4
"Noordoostkwadrant Indische buurt",28,27.5,29.9
"Noordwestkwadrant Indische buurt Noord",22.6,22.2,26.7
"Noordwestkwadrant Indische buurt Zuid",24.4,23.4,32.2
"Olympisch Stadion e.o.",18.2,18.2,18.2
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",17.9,18.2,14.4
"Oostenburg",21.2,21.3,20.1
"Oosterdokseiland",17,17.9,11.1
"Oosterpark",25.3,25.9,20.7
"Oosterparkbuurt Noordwest",22.7,22.3,24.9
"Oosterparkbuurt Zuidoost",20.7,20.5,21.9
"Oosterparkbuurt Zuidwest",26.2,25.8,28.2
"Oostoever Sloterplas",16.6,15.9,18.2
"Oostpoort",19.6,19.8,18.9
"Oostzanerdijk",14.1,14.1,14.4
"Orteliusbuurt Midden",22.4,22.1,25.1
"Orteliusbuurt Noord",23.7,23.6,24
"Orteliusbuurt Zuid",21.4,21.2,23.2
"Osdorp Midden Noord",32.8,33.6,29.4
"Osdorp Midden Zuid",30.1,30.2,29.7
"Osdorp Zuidoost",22.2,22.9,20.1
"Osdorper Binnenpolder",13.5,13.2,NA
"Osdorper Bovenpolder",16.4,17.9,12.4
"Osdorpplein e.o.",25.2,25.3,24
"Oude Kerk e.o.",20.7,21.1,17.7
"Overamstel",11,11.2,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",16.2,17,10.2
"Overtoomse Veld Noord",28.8,27.6,37.1
"Overtoomse Veld Zuid",25.6,25.2,29
"P.C. Hooftbuurt",15.3,16.4,10.6
"Papaverweg e.o.",13.3,13.6,9.3
"Paramariboplein e.o.",19.3,19.1,21.5
"Park Haagseweg",12.4,13.3,9.9
"Park de Meer",16.9,17.6,14.7
"Parooldriehoek",23.4,23.2,NA
"Passeerdersgrachtbuurt",18.6,20,13.8
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",23.1,23.1,23.1
"Plan van Gool",26,27.2,19.8
"Planciusbuurt Noord",21.3,22,16.1
"Planciusbuurt Zuid",23.9,24.6,21.1
"Postjeskade e.o.",19.5,19.4,20.5
"Prinses Irenebuurt",12.6,13.5,10.2
"RAI",NA,NA,NA
"RI Oost terrein",19.3,19.5,16.9
"Ransdorp",11.2,10.9,11.6
"Rapenburg",18.7,19.3,14.9
"Rechte H-buurt",29.5,29.4,30
"Reguliersbuurt",20.2,20.3,NA
"Reigersbos Midden",23.8,24.8,21
"Reigersbos Noord",28.8,29,27.8
"Reigersbos Zuid",20.7,22,17.1
"Rembrandtpark Noord",18.9,19.2,15.1
"Rembrandtpark Zuid",17.3,17.6,14.2
"Rembrandtpleinbuurt",20.1,20.7,12
"Riekerhaven",29.5,29.5,NA
"Riekerpolder",17.5,17.5,NA
"Rieteiland Oost",8.3,8.4,NA
"Rietlanden",18.2,18.2,17.8
"Rijnbuurt Midden",18.3,18.1,19.3
"Rijnbuurt Oost",18.3,18.1,19.7
"Rijnbuurt West",27.1,28.7,22.4
"Robert Scottbuurt Oost",22.7,22.1,27.5
"Robert Scottbuurt West",26.1,25.5,29.9
"Rode Kruisbuurt",11.9,13,10.2
"Sarphatiparkbuurt",19.4,19.3,20.4
"Sarphatistrook",18.5,18.9,15.7
"Scheepvaarthuisbuurt",16.3,17,12.7
"Scheldebuurt Midden",15.5,15.3,16.4
"Scheldebuurt Oost",16.3,16.5,15
"Scheldebuurt West",16.6,16.5,16.8
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",11.5,11.3,12.2
"Schellingwoude West",10.4,11.8,6.7
"Schinkelbuurt Noord",18.7,18.8,17.9
"Schinkelbuurt Zuid",22.3,22.7,20.3
"Schipluidenbuurt",21.2,21.3,12.4
"Science Park Noord",19.4,19.6,9.2
"Science Park Zuid",32.1,32.5,NA
"Sloterdijk II",20.7,20.7,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",26.1,26.6,NA
"Slotermeer Zuid",30.2,30.9,26.5
"Sloterpark",22,22,NA
"Sloterweg e.o.",14,15.4,9.9
"Spaarndammerbuurt Midden",22.3,22.1,24.5
"Spaarndammerbuurt Noordoost",23.9,24.1,22.6
"Spaarndammerbuurt Noordwest",22.7,22.6,23.5
"Spaarndammerbuurt Zuidoost",21.6,21.9,20.2
"Spaarndammerbuurt Zuidwest",21.1,20.4,24.3
