"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"De Wetbuurt",26.4,28,21.6
"De Wittenbuurt Noord",32,33.2,25.4
"De Wittenbuurt Zuid",32.6,35.8,24.2
"Delflandpleinbuurt Oost",38.5,39.4,27.5
"Delflandpleinbuurt West",37.6,38.3,29.1
"Den Texbuurt",25.5,27.8,16.4
"Diamantbuurt",35,36.4,29.7
"Diepenbrockbuurt",17.7,19.7,11.2
"Don Bosco",26.3,27.3,21.6
"Dorp Driemond",20.8,22.6,15
"Dorp Sloten",20.9,23.1,14.4
"Drieburg",NA,NA,NA
"Driehoekbuurt",30.8,33,20.7
"Duivelseiland",29.5,30.4,21.2
"Durgerdam",16,17.7,11
"E-buurt",30.9,31.1,23.9
"Ecowijk",26.7,27.6,22.2
"Eendrachtspark",32.1,34,14.5
"Elandsgrachtbuurt",30.1,32.3,21.7
"Elzenhagen Noord",27.8,28.7,19.1
"Elzenhagen Zuid",44.2,45,28
"Emanuel van Meterenbuurt",31.2,33.6,21.5
"Entrepot-Noordwest",30.7,32.7,22.3
"Erasmusparkbuurt Oost",32.7,33.1,29.5
"Erasmusparkbuurt West",32.8,32.8,33.2
"F-buurt",34.7,35.6,24.4
"Fannius Scholtenbuurt",33.8,34.4,28.1
"Felix Meritisbuurt",27.7,30.3,15.2
"Filips van Almondekwartier",32.4,32.7,29.2
"Flevopark",29.1,30.5,NA
"Frankendael",30.2,30.7,NA
"Frans Halsbuurt",31.4,32.7,21.6
"Frederik Hendrikbuurt Noord",31.8,32.8,25.1
"Frederik Hendrikbuurt Zuidoost",34.8,35.7,27
"Frederik Hendrikbuurt Zuidwest",28.7,30.6,22.5
"Frederikspleinbuurt",25.7,28.5,13.9
"G-buurt Noord",42.7,43.8,34.9
"G-buurt Oost",26,30.5,18.1
"G-buurt West",32.5,33.9,25
"Gaasperdam Noord",34.1,36.1,22.9
"Gaasperdam Zuid",33.5,35.8,25.9
"Gaasperpark",26.3,25.3,NA
"Gaasperplas",17.7,19,NA
"Gein Noordoost",20.2,23.4,12.3
"Gein Noordwest",35.5,37.3,27.3
"Gein Zuidoost",28.9,31.9,20.9
"Gein Zuidwest",36.7,38.1,27.8
"Gelderlandpleinbuurt",28.7,32,19.6
"Gerard Doubuurt",33.6,34.7,26.7
"Geuzenhofbuurt",30.1,30.9,21.7
"Gibraltarbuurt",36.8,37.5,31.4
"Gooise Kant",28.4,28.5,NA
"Gouden Bocht",28,31.7,11.7
"Groenmarktkadebuurt",31.8,32.8,21.6
"Grunder/Koningshoef",32.1,32.9,25.9
"Haarlemmerbuurt Oost",29.2,31.6,19.7
