"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Elandsgrachtbuurt",33.6,28.9,51.2
"Elzenhagen Noord",25.9,23.4,49.5
"Elzenhagen Zuid",29.3,27.8,57
"Emanuel van Meterenbuurt",34.9,30.7,52.1
"Entrepot-Noordwest",36,32.4,51.7
"Erasmusparkbuurt Oost",31.5,28.4,56.7
"Erasmusparkbuurt West",28.9,26.1,57.2
"F-buurt",30.4,28.6,53.4
"Fannius Scholtenbuurt",33.4,30.9,55.4
"Felix Meritisbuurt",28.8,25.2,45.8
"Filips van Almondekwartier",29.4,26.9,54.2
"Flevopark",23.9,21.3,NA
"Frankendael",36.8,35.4,NA
"Frans Halsbuurt",29.7,27,50.6
"Frederik Hendrikbuurt Noord",31.4,27.9,53.3
"Frederik Hendrikbuurt Zuidoost",32,29.5,53
"Frederik Hendrikbuurt Zuidwest",35.6,30.5,51.8
"Frederikspleinbuurt",30.6,26.8,46.8
"G-buurt Noord",43.2,40.8,60.9
"G-buurt Oost",35.7,28,49.4
"G-buurt West",34.5,30.7,54.3
"Gaasperdam Noord",36.6,33.7,52.9
"Gaasperdam Zuid",38.1,32.7,56.4
"Gaasperpark",34,31.3,NA
"Gaasperplas",29.2,25.2,NA
"Gein Noordoost",32.3,27.1,45
"Gein Noordwest",38.2,33.9,57
"Gein Zuidoost",37.9,32.8,51.9
"Gein Zuidwest",37.8,34.7,57
"Gelderlandpleinbuurt",33.6,27.2,50.9
"Gerard Doubuurt",32.2,29,53.2
"Geuzenhofbuurt",26.8,24.6,49.9
"Gibraltarbuurt",33.7,31.1,55.6
"Gooise Kant",24.7,24.3,NA
"Gouden Bocht",26.2,22.7,41.9
"Groenmarktkadebuurt",25.3,22.6,51.1
"Grunder/Koningshoef",32.9,30.1,54.6
"Haarlemmerbuurt Oost",32.2,27.6,50.7
"Haarlemmerbuurt West",34,30,50.7
"Hakfort/Huigenbos",38.8,36.6,57.9
"Harmoniehofbuurt",40.5,29.8,49.3
"Haveneiland Noord",34,31.6,53.6
"Haveneiland Noordoost",30.4,28.5,53.9
"Haveneiland Noordwest",30.5,28,51.3
"Haveneiland Oost",29,27.5,53.8
"Haveneiland Zuidwest/Rieteiland West",26.5,24.7,43.9
"Helmersbuurt Oost",27.2,24.3,49.1
"Hemelrijk",27.8,26.2,48.8
"Hemonybuurt",28.6,26.1,50.9
"Hercules Seghersbuurt",31.9,28.6,54.7
"Het Funen",30.7,27.4,49.8
"Hiltonbuurt",24.2,21,39.1
"Hoge Dijk",26,24.5,NA
"Holendrecht Oost",37,30.3,48.9
"Holendrecht West",44.9,38.7,60.8
"Holysloot",28,23.4,39.5
"Hondecoeterbuurt",29.6,24.6,47
"Hoofdcentrum Zuidoost",19.5,19.5,NA
"Hoptille",31.3,29.6,59.3
"Houthavens Oost",33.5,29.7,44.6
"Houthavens West",25.9,23.6,46.2
"Huntum",31.9,24.8,44
"IJplein e.o.",39.9,35.6,56.9
"IJsbaanpad e.o.",29.8,26.2,44.8
"IJselbuurt Oost",31.7,27.6,53.7
"IJselbuurt West",34.7,30.5,54.5
"Jacob Geelbuurt",37.1,34,58.4
"Jacques Veltmanbuurt",31.5,27.8,54.2
"Jan Maijenbuurt",36.3,33.1,60.5
"Java-eiland",32,28.3,47.6
"Johan Jongkindbuurt",37.2,35.1,60.9
"Johannnes Vermeerbuurt",29,24.6,45.1
"John Franklinbuurt",34.1,30.8,57.8
"Julianapark",28.6,24.8,50.7
"K-buurt Midden",36.8,34.1,59.5
"K-buurt Zuidoost",29.3,27.8,54.4
"K-buurt Zuidwest",32.8,29.8,54.2
"KNSM-eiland",35.5,31.4,48.2
"Kadijken",35.4,30,50.2
"Kadoelen",29.7,25.8,46.8
"Kalverdriehoek",24.4,22.7,52.7
"Kantershof",37.5,30.9,54
"Kattenburg",35.7,28.7,54.6
"Kazernebuurt",36.9,30.5,53.1
"Kelbergen",37.7,33.2,54.3
"Kolenkitbuurt Noord",34.1,31.3,61.5
"Kolenkitbuurt Zuid",33.2,29.5,57.7
"Koningin Wilhelminaplein",24.7,22.9,47.9
"Kop Zeedijk",28.5,26.5,48.4
"Kop Zuidas",24.6,22.7,46.7
"Kortenaerkwartier",31.6,28.5,53.4
"Kortvoort",41.7,36,59.5
"Kromme Mijdrechtbuurt",34.4,30.1,54.4
"L-buurt",34.7,29.4,50.9
"Laan van Spartaan",26.7,24.6,58.7
"Landelijk gebied Driemond",24.2,22.4,35.5
"Landlust Noord",33.6,30.7,58.8
"Landlust Zuid",32.4,29.5,57.7
"Langestraat e.o.",29.9,25.1,45.1
"Lastage",30.9,26.9,50
"Legmeerpleinbuurt",30.5,26.8,51.7
"Leidsebuurt Noordoost",24.7,23.1,49.4
"Leidsebuurt Noordwest",25,23.6,48.7
"Leidsebuurt Zuidoost",29.3,26.2,43.9
"Leidsebuurt Zuidwest",28,25.6,46.4
"Leidsegracht Noord",27.7,24.4,42.8
"Leidsegracht Zuid",28,24.6,45.4
"Leliegracht e.o.",27.7,24.5,44
"Linnaeusparkbuurt",29.2,24.8,49
"Lizzy Ansinghbuurt",32.9,29.4,53.6
"Loenermark",33.1,27.5,53.5
"Lootsbuurt",35,31.6,57.4
"Louis Chrispijnbuurt",36.9,31.1,54.6
"Lucas/Andreasziekenhuis e.o.",19.9,19.8,NA
"Marathonbuurt Oost",38.6,33.8,54.1
"Marathonbuurt West",40.3,35.9,56.6
"Marcanti",34,28.7,55.6
"Marine-Etablissement",33,28.5,44.7
"Marjoleinterrein",31,29.5,46.9
"Markengouw Midden",33.4,30.9,54.9
"Markengouw Zuid",32.8,30.5,51.8
"Markthallen",32.5,22.6,NA
"Marnixbuurt Midden",24.8,22.5,49.3
"Marnixbuurt Noord",35.1,30.3,54.2
"Marnixbuurt Zuid",35.4,29.9,49.9
"Medisch Centrum Slotervaart",27.3,26.9,NA
"Meer en Oever",33.5,28.5,51
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",35.3,30.1,51.8
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",30.2,25.4,49.5
"Middenmeer Zuid",29.2,25.3,49.9
"Minervabuurt Midden",28.7,23.6,45.5
"Minervabuurt Noord",28.6,23.6,45.1
"Minervabuurt Zuid",29.6,24.4,45.9
"Molenwijk",39.4,34.4,55.1
"Museumplein",NA,NA,NA
"NDSM terrein",22.7,22.5,44.8
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",26.9,25.3,44.1
"Nieuw Sloten Noordoost",35,29.1,50.4
"Nieuw Sloten Noordwest",33.7,28.8,50.6
"Nieuw Sloten Zuidoost",31.6,28.3,50.4
"Nieuw Sloten Zuidwest",29.9,27,44.4
"Nieuwe Diep/Diemerpark",31.2,28.2,42
"Nieuwe Kerk e.o.",26.2,24.8,46.2
"Nieuwe Meer",34.6,33.2,45.4
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",25.2,22.4,38.9
"Nieuwendammerdijk West",28.1,23.3,44.5
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",27.3,26.1,50.9
"Nieuwmarkt",38.8,32.6,52.3
"Nintemanterrein",31.5,24.2,44.8
"Noorder IJplas",33.1,28.9,39.7
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",35.3,34.6,NA
"Noordoever Sloterplas",31.3,27.8,51.4
"Noordoostkwadrant Indische buurt",38.9,33.5,59.6
"Noordwestkwadrant Indische buurt Noord",31.9,29.2,57
"Noordwestkwadrant Indische buurt Zuid",32.5,29.1,59.7
"Olympisch Stadion e.o.",32.5,27.2,53.2
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",30,28,48.2
"Oostenburg",30.3,27.2,52.9
"Oosterdokseiland",29.2,26.8,45.7
"Oosterpark",36.1,34.1,52.2
"Oosterparkbuurt Noordwest",33.7,29.9,56.4
"Oosterparkbuurt Zuidoost",32.9,29.2,54
"Oosterparkbuurt Zuidwest",36.9,32.9,57.4
"Oostoever Sloterplas",34.7,27.4,51.9
"Oostpoort",34.8,29.9,51.8
"Oostzanerdijk",30.3,26.4,45.9
"Orteliusbuurt Midden",31.9,29,56.1
"Orteliusbuurt Noord",34.7,30.9,57.2
"Orteliusbuurt Zuid",30.3,27.2,54.5
"Osdorp Midden Noord",39.9,35.6,57.7
"Osdorp Midden Zuid",36.5,32.8,56.8
"Osdorp Zuidoost",35.5,29.3,53.2
"Osdorper Binnenpolder",31.4,24.8,NA
"Osdorper Bovenpolder",32.6,28.4,43.5
"Osdorpplein e.o.",31.9,28.4,54.5
"Oude Kerk e.o.",28.5,25.8,51.4
"Overamstel",25.1,23.9,NA
"Overbraker Binnenpolder",NA,NA,NA
"Overhoeks",27.5,25.1,45.4
"Overtoomse Veld Noord",34.7,31,61.5
"Overtoomse Veld Zuid",29.7,26.8,57.8
"P.C. Hooftbuurt",29.2,25.1,45.5
"Papaverweg e.o.",25.6,24.2,43.6
"Paramariboplein e.o.",28.9,26.3,52.4
"Park Haagseweg",31.3,26.7,44.2
"Park de Meer",34,29.8,46.9
"Parooldriehoek",24.1,23.5,NA
"Passeerdersgrachtbuurt",33,28.8,47.8
"Petroleumhaven",NA,NA,NA
"Pieter van der Doesbuurt",33.1,30.2,55.8
"Plan van Gool",36.2,32.8,53.1
"Planciusbuurt Noord",32.7,30.3,50.6
"Planciusbuurt Zuid",40.8,37.2,55.7
"Postjeskade e.o.",30.3,27,53.1
"Prinses Irenebuurt",30.1,23.4,45.9
"RAI",NA,NA,NA
"RI Oost terrein",27.2,25.6,52
"Ransdorp",27.9,22.8,38.2
"Rapenburg",29,25.8,49.4
"Rechte H-buurt",38.6,35.2,58.5
"Reguliersbuurt",23.7,23.2,NA
"Reigersbos Midden",37.7,32.5,53.8
"Reigersbos Noord",39.8,36,57.9
"Reigersbos Zuid",36.9,31.8,50.2
"Rembrandtpark Noord",24.5,22.3,51.9
"Rembrandtpark Zuid",25.6,22.9,49.7
"Rembrandtpleinbuurt",25.2,23.5,49.6
"Riekerhaven",23.1,23.1,NA
"Riekerpolder",22,21.7,NA
"Rieteiland Oost",20.3,20.3,NA
"Rietlanden",31.5,28.2,50.2
"Rijnbuurt Midden",30.3,26.3,52.6
"Rijnbuurt Oost",30.1,26.4,52.8
"Rijnbuurt West",42.6,38.1,55.4
"Robert Scottbuurt Oost",32,29,56.7
"Robert Scottbuurt West",31.8,27.8,57.1
"Rode Kruisbuurt",33.1,25.3,44.7
"Sarphatiparkbuurt",29.4,26.6,53.2
"Sarphatistrook",29.6,26.4,51.1
"Scheepvaarthuisbuurt",28.2,24.4,47.5
"Scheldebuurt Midden",29.1,24.4,51
"Scheldebuurt Oost",28.6,24.7,50.6
"Scheldebuurt West",30,25.3,51.3
"Schellingwoude Noord",NA,NA,NA
"Schellingwoude Oost",29,24.3,43.3
"Schellingwoude West",33.3,27.3,49.7
"Schinkelbuurt Noord",28.9,26.4,50.2
"Schinkelbuurt Zuid",35.2,31,54
"Schipluidenbuurt",22.1,21.7,47.1
"Science Park Noord",22.1,21.6,42.3
"Science Park Zuid",25.2,24.3,NA
"Sloterdijk II",22.9,22.9,NA
"Sloterdijk III Oost",NA,NA,NA
"Sloterdijk III West",27.9,27.1,NA
"Slotermeer Zuid",38.3,34.7,56.4
"Sloterpark",21.6,21.6,NA
"Sloterweg e.o.",29.5,24.9,43
"Spaarndammerbuurt Midden",33.7,31.5,56.1
"Spaarndammerbuurt Noordoost",37.3,33.4,55.6
"Spaarndammerbuurt Noordwest",35.5,32.4,56.5
"Spaarndammerbuurt Zuidoost",34.7,30.4,53.8
