"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Elzenhagen Noord",73.4,75.2,56.4
"Elzenhagen Zuid",61.8,62.7,44.2
"Emanuel van Meterenbuurt",64.9,67.5,54.7
"Entrepot-Noordwest",64.8,66.8,56.3
"Erasmusparkbuurt Oost",69.2,71.8,48.8
"Erasmusparkbuurt West",71.4,74.1,44.1
"F-buurt",63.6,64.9,48.5
"Fannius Scholtenbuurt",66.6,68.7,47.5
"Felix Meritisbuurt",76.2,77.8,68.8
"Filips van Almondekwartier",70.9,73.4,47
"Flevopark",80.8,83,NA
"Frankendael",81.5,84.8,NA
"Frans Halsbuurt",72,73.9,58.1
"Frederik Hendrikbuurt Noord",69.9,72.9,51.8
"Frederik Hendrikbuurt Zuidoost",68.6,70.6,51
"Frederik Hendrikbuurt Zuidwest",68.1,72,55.7
"Frederikspleinbuurt",75.8,77.1,70
"G-buurt Noord",47.5,49.4,33.6
"G-buurt Oost",66.4,70.7,58.6
"G-buurt West",60.8,63.5,46.6
"Gaasperdam Noord",58.9,60.4,50.5
"Gaasperdam Zuid",58,62,44.3
"Gaasperpark",68.5,70.8,NA
"Gaasperplas",74.6,78,NA
"Gein Noordoost",73,74.6,69.1
"Gein Noordwest",56.3,59.7,41.4
"Gein Zuidoost",61.2,64.3,52.7
"Gein Zuidwest",56,58.2,42.1
"Gelderlandpleinbuurt",67.3,71.9,54.8
"Gerard Doubuurt",68.2,70.8,51.3
"Geuzenhofbuurt",75.2,77,57.1
"Gibraltarbuurt",62.8,65.3,41.1
"Gooise Kant",71.4,71.7,NA
"Gouden Bocht",76.7,77.9,71.3
"Groenmarktkadebuurt",75.8,77.6,58.2
"Grunder/Koningshoef",61.5,63.4,47
"Haarlemmerbuurt Oost",71.5,74.5,59.7
"Haarlemmerbuurt West",68.1,70.8,56.7
"Hakfort/Huigenbos",52,53.6,38.3
"Harmoniehofbuurt",67.6,73.8,62.5
"Haveneiland Noord",62.5,64.3,47.4
"Haveneiland Noordoost",68.2,69.7,49.6
"Haveneiland Noordwest",68.3,70.1,52.9
"Haveneiland Oost",71.9,73.2,50.1
"Haveneiland Zuidwest/Rieteiland West",77.5,78.6,67.1
"Helmersbuurt Oost",76.7,78.4,63.3
"Hemelrijk",72.4,73,63.6
"Hemonybuurt",74,75.6,60.3
"Hercules Seghersbuurt",68,70.6,49.5
"Het Funen",74.4,76.5,62.4
"Hiltonbuurt",82.2,84.2,72.9
"Hoge Dijk",71.2,71.7,NA
"Holendrecht Oost",63.8,66.3,59.4
"Holendrecht West",46,50.4,34.8
"Holysloot",78.2,81.9,69
"Hondecoeterbuurt",75.9,79.1,65
"Hoofdcentrum Zuidoost",75.6,75.6,NA
"Hoptille",60.3,61.6,38.2
"Houthavens Oost",73.9,74.9,70.9
"Houthavens West",79.9,81,69.7
"Huntum",73.4,75.8,69.4
"IJplein e.o.",57.4,60.4,45.5
"IJsbaanpad e.o.",77.5,80.3,66.3
"IJselbuurt Oost",69.3,72.7,50.9
"IJselbuurt West",66.5,70.1,49.6
"Jacob Geelbuurt",55.4,57.8,39
"Jacques Veltmanbuurt",65,67.9,46.4
"Jan Maijenbuurt",61.1,64.4,37.2
"Java-eiland",73.9,76,65.1
"Johan Jongkindbuurt",52.7,54.2,35.6
"Johannnes Vermeerbuurt",77.1,79.1,69.9
"John Franklinbuurt",65,68.2,41.8
"Julianapark",75.3,77.8,60.6
"K-buurt Midden",54.5,56.3,38.4
"K-buurt Zuidoost",65.2,66.4,44.4
"K-buurt Zuidwest",60.8,63.5,41.8
"KNSM-eiland",70.7,72.7,64.2
"Kadijken",69.9,72.9,61.5
"Kadoelen",74.7,77.1,64.1
"Kalverdriehoek",75.6,76.5,61.3
"Kantershof",60.2,65.6,46.7
"Kattenburg",64.6,70.2,49.5
"Kazernebuurt",66.2,70.4,55.7
"Kelbergen",56.2,58.4,47.9
"Kolenkitbuurt Noord",58.8,61.5,31
"Kolenkitbuurt Zuid",62.4,66.3,36.5
"Koningin Wilhelminaplein",76.1,77,63.9
"Kop Zeedijk",72.4,73.5,61.7
"Kop Zuidas",79.3,80.1,70.9
"Kortenaerkwartier",69.1,71.7,50.5
"Kortvoort",51.9,56.7,37.1
"Kromme Mijdrechtbuurt",66.7,70.2,50.1
"L-buurt",65.2,68.5,55.1
"Laan van Spartaan",69.9,71.9,38.7
"Landelijk gebied Driemond",81.3,82.4,74.5
"Landlust Noord",63,65.9,37
"Landlust Zuid",67.2,70.2,41.4
"Langestraat e.o.",76.4,78.3,70.3
"Lastage",73.5,76,61.6
"Legmeerpleinbuurt",72.7,75.7,55.6
"Leidsebuurt Noordoost",75.1,75.9,63.5
